valid_loss,valid_acc,epoch,step,train_loss,train_acc,lr
1.2481513023376465,0.7103620767593384,0,1201,,,
,,1,1201,1.823513388633728,0.682026207447052,1.372113729303237e-05
1.297567367553711,0.7166042327880859,1,2403,,,
,,2,2403,1.2664425373077393,0.712190568447113,8.780443749856204e-05
1.3288244009017944,0.7100499272346497,2,3605,,,
,,3,3605,1.2500193119049072,0.714374840259552,0.00022473014541901648
1.252129077911377,0.7256554365158081,3,4807,,,
,,4,4807,1.2312666177749634,0.7163511514663696,0.00040364734013564885
1.218146562576294,0.7356429696083069,4,6009,,,
,,5,6009,1.2101576328277588,0.7192635536193848,0.0005973126390017569
1.2010374069213867,0.7350187301635742,5,7211,,,
,,6,7211,1.1793324947357178,0.7238402366638184,0.0007762351888231933
1.195286750793457,0.7278401851654053,6,8413,,,
,,7,8413,1.1547502279281616,0.7276887893676758,0.0009131728438660502
1.1540273427963257,0.7325218319892883,7,9615,,,
,,8,9615,1.135231852531433,0.7340337038040161,0.000987271312624216
1.1362334489822388,0.7362671494483948,8,10817,,,
,,9,10817,1.106223464012146,0.7384023070335388,0.0009991967817768455
1.1068872213363647,0.7490636706352234,9,12019,,,
,,10,12019,1.105555772781372,0.7396504878997803,0.0009943873155862093
1.1127049922943115,0.7440699338912964,10,13221,,,
,,11,13221,1.0610265731811523,0.7457873821258545,0.0009848170448094606
1.1374974250793457,0.7487515807151794,11,14423,,,
,,12,14423,1.0373896360397339,0.7476596832275391,0.0009705782867968082
1.1000123023986816,0.7521847486495972,12,15625,,,
,,13,15625,1.023023009300232,0.747139573097229,0.0009518068400211632
1.083580493927002,0.7518726587295532,13,16827,,,
,,14,16827,1.0084549188613892,0.7518202662467957,0.0009286842541769147
1.0626473426818848,0.7593632936477661,14,18029,,,
,,15,18029,0.99137943983078,0.7530684471130371,0.000901433639228344
1.071496844291687,0.7581148743629456,15,19231,,,
,,16,19231,0.9708399772644043,0.7553567886352539,0.0008703165804035962
1.0356370210647583,0.7609238624572754,16,20433,,,
,,17,20433,0.9654422402381897,0.7573330402374268,0.000835633953101933
1.0191287994384766,0.7649812698364258,17,21635,,,
,,18,21635,0.9490636587142944,0.7597253918647766,0.0007977182394824922
0.9804540276527405,0.7702871561050415,18,22837,,,
,,19,22837,0.9342202544212341,0.7610775828361511,0.000756935216486454
1.0244441032409668,0.7606117129325867,19,24039,,,
,,20,24039,0.9262007474899292,0.7627418637275696,0.0007136781932786107
0.9529285430908203,0.7724719047546387,20,25241,,,
,,21,25241,0.9116441607475281,0.7644060850143433,0.0006683631218038499
0.9391013383865356,0.774032473564148,21,26443,,,
,,22,26443,0.8988897204399109,0.7673184871673584,0.0006214269669726491
0.9203745126724243,0.7749688029289246,22,27645,,,
,,23,27645,0.8907461762428284,0.7698148488998413,0.0005733210709877312
0.9174068570137024,0.7762172222137451,23,28847,,,
,,24,28847,0.8742369413375854,0.7724152207374573,0.0005245092324912548
0.9185035824775696,0.7755929827690125,24,30049,,,
,,25,30049,0.864823579788208,0.774079442024231,0.000475461216410622
0.9051555395126343,0.7737203240394592,25,31251,,,
,,26,31251,0.8550288081169128,0.7760557532310486,0.0004266495816409588
0.9124775528907776,0.7743445634841919,26,32453,,,
,,27,32453,0.8436997532844543,0.7786561250686646,0.00037854438414797187
0.8946144580841064,0.7749688029289246,27,33655,,,
,,28,33655,0.8371885418891907,0.7795922756195068,0.00033160895691253245
0.9160279631614685,0.7755929827690125,28,34857,,,
,,29,34857,0.8282299041748047,0.7812564969062805,0.00028629510779865086
0.917556881904602,0.7746566534042358,29,36059,,,
,,30,36059,0.8212702870368958,0.7821926474571228,0.00024303946702275425
0.9116582274436951,0.7784019708633423,30,37261,,,
,,31,37261,0.814543604850769,0.7850010395050049,0.0002022584667429328
0.9016614556312561,0.779026210308075,31,38463,,,
,,32,38463,0.8090516328811646,0.7863532304763794,0.00016434524150099605
0.8914247751235962,0.7805867791175842,32,39665,,,
,,33,39665,0.8037901520729065,0.7865612506866455,0.0001296636910410598
0.8851064443588257,0.7846441864967346,33,40867,,,
,,34,40867,0.7998078465461731,0.787809431552887,9.854920790530741e-05
0.8837230205535889,0.7855805158615112,34,42069,,,
,,35,42069,0.7946766018867493,0.7902017831802368,7.130091398721561e-05
0.8831491470336914,0.7862047553062439,35,43271,,,
,,36,43271,0.7907741665840149,0.7900977730751038,4.818118395633064e-05
0.8800601363182068,0.7865168452262878,36,44473,,,
,,37,44473,0.7874674201011658,0.7900977730751038,2.9412716685328633e-05
0.8782594203948975,0.7883895039558411,37,45675,,,
,,38,45675,0.7843680381774902,0.7908259034156799,1.5176317901932634e-05
0.8777127265930176,0.7877652645111084,38,46877,,,
,,39,46877,0.7817137241363525,0.7903057932853699,5.6090138969011605e-06
0.8775252103805542,0.7880774140357971,39,48079,,,
,,40,48079,0.7801495790481567,0.7900977730751038,8.029686000554648e-07
