BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=21, bias=True)
  (act_func): Softmax(dim=1)
)
BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=11, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.0017469681517756058, Train Acc: 0.8385534270522252
Test Loss: 0.1095295535934555, Test Acc: 0.8385052447552448
Train Loss: 0.0014821632473334542, Train Acc: 0.8435792847257629
Test Loss: 0.08538652516224167, Test Acc: 0.8477928321678322
Train Loss: 0.0010664824251575568, Train Acc: 0.8703838589846311
Test Loss: 0.06705620432910803, Test Acc: 0.8740166083916084
Train Loss: 0.0008548099956981867, Train Acc: 0.8949304392162576
Test Loss: 0.062635080719536, Test Acc: 0.8825393356643356
Train Loss: 0.000657687049659733, Train Acc: 0.917036929128123
Test Loss: 0.06138603737043751, Test Acc: 0.8912805944055944
Train Loss: 0.0004978881248438679, Train Acc: 0.9384514531284143
Test Loss: 0.06464432254824397, Test Acc: 0.8882211538461539
Train Loss: 0.0003981350444918526, Train Acc: 0.9507975817612353
Test Loss: 0.07534516908853621, Test Acc: 0.8837412587412588
Train Loss: 0.0003023394813762099, Train Acc: 0.963981353339646
Test Loss: 0.08067572112944159, Test Acc: 0.8806818181818182
Train Loss: 0.0002528815084265513, Train Acc: 0.9696627576662539
Test Loss: 0.09108643225960798, Test Acc: 0.8790428321678322
Train Loss: 0.00020390607490520322, Train Acc: 0.9751256464418384
Test Loss: 0.0883166793916192, Test Acc: 0.879916958041958
Train Loss: 0.0001917155923549001, Train Acc: 0.9760725471629398
Test Loss: 0.090160395897977, Test Acc: 0.8767482517482518
Train Loss: 0.00016199112192879104, Train Acc: 0.9792774419112826
Test Loss: 0.09251342158946958, Test Acc: 0.8786057692307693
Train Loss: 0.00014208622726301392, Train Acc: 0.9810255663194697
Test Loss: 0.1038778965472133, Test Acc: 0.8789335664335665
Train Loss: 0.00014541162349340187, Train Acc: 0.9809891470609658
Test Loss: 0.1047298877949377, Test Acc: 0.8781687062937062
Train Loss: 0.00014417167727440874, Train Acc: 0.9804428581834074
Test Loss: 0.10115520635268072, Test Acc: 0.8810096153846154
Train Loss: 0.00011928439081139138, Train Acc: 0.9828829485031685
Test Loss: 0.10087296498249045, Test Acc: 0.8806818181818182
Train Loss: 0.00011162232590181901, Train Acc: 0.9839026877412775
Test Loss: 0.11519199583705489, Test Acc: 0.8743444055944056
Train Loss: 0.0001374725777844526, Train Acc: 0.9817175322310437
