BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=11, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.0017469682030597392, Train Acc: 0.8385534270522252
Test Loss: 0.1095295531766398, Test Acc: 0.8385052447552448
Train Loss: 0.0014922107461403321, Train Acc: 0.8432879306577318
Test Loss: 0.08539532085919714, Test Acc: 0.8526005244755245
Train Loss: 0.0010490605691881327, Train Acc: 0.874644912229587
Test Loss: 0.06758351591448267, Test Acc: 0.881993006993007
Train Loss: 0.000865640476782813, Train Acc: 0.8950396969917692
Test Loss: 0.06143196491146838, Test Acc: 0.8863636363636364
Train Loss: 0.0007055129243429433, Train Acc: 0.9103357855634059
Test Loss: 0.0610344317461644, Test Acc: 0.8898601398601399
Train Loss: 0.0005591376295396135, Train Acc: 0.9284361570398426
Test Loss: 0.06471172187451299, Test Acc: 0.8898601398601399
Train Loss: 0.0004339014467697731, Train Acc: 0.9432587952509287
Test Loss: 0.07174008004888371, Test Acc: 0.8802447552447552
Train Loss: 0.0003397636419320238, Train Acc: 0.9560419549857965
Test Loss: 0.08061166958219104, Test Acc: 0.883631993006993
Train Loss: 0.00026459301711755497, Train Acc: 0.9652560273872824
Test Loss: 0.08510754269163509, Test Acc: 0.8737980769230769
Train Loss: 0.00022311901099895183, Train Acc: 0.9715929783669605
Test Loss: 0.09266328789502173, Test Acc: 0.881993006993007
Train Loss: 0.0002070035699640853, Train Acc: 0.9735960375846747
Test Loss: 0.09592778565218815, Test Acc: 0.8830856643356644
Train Loss: 0.00016393955735633133, Train Acc: 0.9782212834146696
Test Loss: 0.09782406858370438, Test Acc: 0.887347027972028
Train Loss: 0.0001635300807487353, Train Acc: 0.9789132493262437
Test Loss: 0.10013605985087115, Test Acc: 0.885708041958042
Train Loss: 0.00014084938370361363, Train Acc: 0.9810619855779736
Test Loss: 0.104083004296868, Test Acc: 0.8730332167832168
Train Loss: 0.00015737985365561806, Train Acc: 0.9786947337752203
Test Loss: 0.09670327186350014, Test Acc: 0.8769667832167832
Train Loss: 0.00011900788340556358, Train Acc: 0.9825915944351373
Test Loss: 0.1030902183008986, Test Acc: 0.8815559440559441
Train Loss: 0.00011434006928291921, Train Acc: 0.9833199796052152
Test Loss: 0.10266020584043924, Test Acc: 0.8816652097902098
Train Loss: 0.00011429056884458887, Train Acc: 0.9836113336732464
