BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=21, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.0017578062738083681, Train Acc: 0.6208504801097394
Test Loss: 0.10692169277715421, Test Acc: 0.6320987654320988
Train Loss: 0.0016751046513497256, Train Acc: 0.6320987654320988
Test Loss: 0.10729591464227774, Test Acc: 0.6320987654320988
Train Loss: 0.0016689903165414337, Train Acc: 0.6320987654320988
Test Loss: 0.10493801546849015, Test Acc: 0.6323731138545954
Train Loss: 0.0014708360526787402, Train Acc: 0.6356652949245541
Test Loss: 0.09207006972513081, Test Acc: 0.638957475994513
Train Loss: 0.0013595469694569278, Train Acc: 0.6606310013717421
Test Loss: 0.08262849713181272, Test Acc: 0.6825788751714678
Train Loss: 0.0012221609399397186, Train Acc: 0.7094650205761317
Test Loss: 0.0787437815336697, Test Acc: 0.7176954732510288
Train Loss: 0.0010981216638340054, Train Acc: 0.7454046639231824
Test Loss: 0.06615222566984645, Test Acc: 0.7679012345679013
Train Loss: 0.0009178556379222085, Train Acc: 0.7972565157750343
Test Loss: 0.05423363286424403, Test Acc: 0.811522633744856
Train Loss: 0.0007971221711409926, Train Acc: 0.8235939643347051
Test Loss: 0.047362774492986245, Test Acc: 0.8400548696844993
Train Loss: 0.0006957505077164523, Train Acc: 0.8463648834019204
Test Loss: 0.04046062937182654, Test Acc: 0.8636488340192043
Train Loss: 0.0006457666458947832, Train Acc: 0.8595336076817558
Test Loss: 0.038246812923863754, Test Acc: 0.8688614540466393
Train Loss: 0.0005759661866477161, Train Acc: 0.8710562414266118
Test Loss: 0.03253767283579695, Test Acc: 0.8850480109739369
Train Loss: 0.0005195553911484482, Train Acc: 0.8839506172839506
Test Loss: 0.028873900959807332, Test Acc: 0.8976680384087792
Train Loss: 0.00046251131086233384, Train Acc: 0.8946502057613168
Test Loss: 0.027365751519022492, Test Acc: 0.9042524005486968
Train Loss: 0.00043045626838266116, Train Acc: 0.8949245541838134
Test Loss: 0.02510082606681008, Test Acc: 0.906721536351166
Train Loss: 0.0004503762334155938, Train Acc: 0.8883401920438957
Test Loss: 0.02389240786279916, Test Acc: 0.9075445816186557
Train Loss: 0.00038471483486220343, Train Acc: 0.9006858710562414
Test Loss: 0.020824823671612067, Test Acc: 0.9174211248285322
Train Loss: 0.0003286434025778365, Train Acc: 0.9075445816186557
Test Loss: 0.018330923045266147, Test Acc: 0.9220850480109739
Train Loss: 0.00030540182965517617, Train Acc: 0.9108367626886146
Test Loss: 0.017139778744597985, Test Acc: 0.9234567901234568
Train Loss: 0.000296675226815934, Train Acc: 0.9089163237311385
Test Loss: 0.018372693753434633, Test Acc: 0.9218106995884774
Train Loss: 0.00031216516809739857, Train Acc: 0.908641975308642
Test Loss: 0.01722856614232799, Test Acc: 0.9237311385459533
Train Loss: 0.0002748230601238043, Train Acc: 0.9116598079561042
Test Loss: 0.015213692335434901, Test Acc: 0.929766803840878
Train Loss: 0.0002590822763689915, Train Acc: 0.9152263374485596
Test Loss: 0.015104671521687213, Test Acc: 0.9256515775034293
Train Loss: 0.00025508687978377883, Train Acc: 0.9127572016460905
Test Loss: 0.01423999729766849, Test Acc: 0.9303155006858711
Train Loss: 0.00024925525688575213, Train Acc: 0.9163237311385459
Test Loss: 0.014233957234621866, Test Acc: 0.9300411522633745
Train Loss: 0.0003308209268675174, Train Acc: 0.9058984910836763
Test Loss: 0.017429619311611837, Test Acc: 0.9212620027434842
Train Loss: 0.0002626956431565625, Train Acc: 0.9146776406035665
Test Loss: 0.014536075547480615, Test Acc: 0.9286694101508917
Train Loss: 0.00024361527909426368, Train Acc: 0.9152263374485596
Test Loss: 0.013928569725041364, Test Acc: 0.9292181069958848
Train Loss: 0.00023998234776169349, Train Acc: 0.9108367626886146
Test Loss: 0.013173819470011077, Test Acc: 0.9311385459533608
Train Loss: 0.0002288658410791098, Train Acc: 0.9190672153635117
Test Loss: 0.013042692839077307, Test Acc: 0.9305898491083676
Train Loss: 0.0002282020715110014, Train Acc: 0.9133058984910837
Test Loss: 0.012719261974213832, Test Acc: 0.9300411522633745
