,precision,recall,f1-score,support
0,0.8353279868393996,0.6616176422684777,0.7383938633802305,30699.0
1,0.03167115902964959,0.0304798962386511,0.03106411103767349,1542.0
2,0.012345679012345678,0.002232142857142857,0.003780718336483932,448.0
3,0.13846819558632625,0.17400761283306146,0.1542168674698795,1839.0
4,0.00904977375565611,0.024965325936199722,0.013284132841328416,721.0
5,0.14285714285714285,0.008695652173913044,0.01639344262295082,115.0
6,0.011320754716981131,0.005338078291814947,0.007255139056831922,562.0
7,0.0,0.0,0.0,127.0
8,0.0,0.0,0.0,245.0
9,0.0,0.0,0.0,167.0
10,0.0,0.0,0.0,145.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
accuracy,0.5654465992898116,0.5654465992898116,0.5654465992898116,0.5654465992898116
macro avg,0.059052034589875055,0.04536681752996304,0.04821941373726893,36610.0
weighted avg,0.7096984537979945,0.5654465992898116,0.628699621580219,36610.0
