,precision,recall,f1-score,support
0,0.897887323943662,0.8854166666666666,0.8916083916083917,576.0
1,0.24324324324324326,0.3333333333333333,0.28125,27.0
2,0.5714285714285714,0.4444444444444444,0.5,9.0
3,0.55,0.5892857142857143,0.5689655172413793,56.0
4,0.6078431372549019,0.7045454545454546,0.6526315789473683,44.0
5,0.0,0.0,0.0,1.0
6,0.45,0.391304347826087,0.4186046511627907,23.0
7,0.0,0.0,0.0,2.0
8,0.2,0.16666666666666666,0.1818181818181818,6.0
9,0.0,0.0,0.0,3.0
10,0.0,0.0,0.0,4.0
12,0.0,0.0,0.0,9.0
13,1.0,0.3333333333333333,0.5,3.0
14,0.0,0.0,0.0,5.0
15,0.3333333333333333,0.2857142857142857,0.30769230769230765,14.0
16,0.0,0.0,0.0,2.0
17,0.4642857142857143,0.5652173913043478,0.5098039215686274,23.0
18,0.3333333333333333,0.125,0.18181818181818182,8.0
19,0.7216494845360825,0.7692307692307693,0.7446808510638298,91.0
20,0.0,0.0,0.0,5.0
accuracy,0.7530186608122942,0.7530186608122942,0.7530186608122942,0.7530186608122942
macro avg,0.3186502070679421,0.27967462036755514,0.28694367914605295,911.0
weighted avg,0.7515594173390538,0.7530186608122942,0.750505536200234,911.0
