,precision,recall,f1-score,support
0,0.69644527595884,0.6549373213107543,0.6750538365635271,9094.0
1,0.0026595744680851063,0.010638297872340425,0.00425531914893617,94.0
2,0.0,0.0,0.0,1.0
3,0.009205983889528193,0.061068702290076333,0.015999999999999997,131.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,9.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,574.0
8,0.0,0.0,0.0,23.0
9,0.0,0.0,0.0,56.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,97.0
12,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,33.0
14,0.0,0.0,0.0,7.0
15,0.0,0.0,0.0,5.0
16,0.0,0.0,0.0,0.0
17,0.0023148148148148147,0.014925373134328358,0.004008016032064129,67.0
18,0.0,0.0,0.0,32.0
19,0.0007304601899196494,0.043478260869565216,0.0014367816091954023,23.0
20,0.0,0.0,0.0,2.0
21,0.0,0.0,0.0,23.0
23,0.0,0.0,0.0,115.0
24,0.0,0.0,0.0,28.0
25,0.0,0.0,0.0,26.0
26,0.0,0.0,0.0,1.0
27,0.0,0.0,0.0,42.0
28,0.0,0.0,0.0,42.0
29,0.0,0.0,0.0,1144.0
30,0.0,0.0,0.0,409.0
31,0.0,0.0,0.0,69.0
32,0.0,0.0,0.0,24.0
33,0.0,0.0,0.0,3.0
37,0.0,0.0,0.0,175.0
38,0.0,0.0,0.0,18.0
39,0.0,0.0,0.0,1.0
41,0.0,0.0,0.0,7.0
43,0.0,0.0,0.0,2.0
45,0.0,0.0,0.0,7.0
47,0.0,0.0,0.0,394.0
48,0.0,0.0,0.0,25.0
49,0.0,0.0,0.0,2.0
53,0.0,0.0,0.0,12.0
accuracy,0.46551724137931033,0.46551724137931033,0.46551724137931033,0.46551724137931033
macro avg,0.016543165333050877,0.018256929197141038,0.016296603566365645,12818.0
weighted avg,0.49423476491154467,0.46551724137931033,0.4791494127601713,12818.0
