BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=54, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.000595469886132188, Train Acc: 0.7059603682321735
Test Loss: 0.03635963827271621, Test Acc: 0.7094710563270401
Train Loss: 0.0005699864809992328, Train Acc: 0.7094710563270401
Test Loss: 0.03632341259150283, Test Acc: 0.7094710563270401
Train Loss: 0.0005699757608355608, Train Acc: 0.7094710563270401
Test Loss: 0.03635455820000912, Test Acc: 0.7094710563270401
Train Loss: 0.0004813414935140588, Train Acc: 0.7249960992354502
Test Loss: 0.028128496031318298, Test Acc: 0.7399750351068809
Train Loss: 0.00040064866944187273, Train Acc: 0.7656420658449056
Test Loss: 0.024289647599992897, Test Acc: 0.7670463410828522
Train Loss: 0.00035706678865180127, Train Acc: 0.7747698548915587
Test Loss: 0.021488203107787564, Test Acc: 0.7844437509751911
Train Loss: 0.00031816189503275415, Train Acc: 0.7988765798096427
Test Loss: 0.018554811140228535, Test Acc: 0.8077703229833048
Train Loss: 0.00028195257561232205, Train Acc: 0.8147136838820409
Test Loss: 0.017046988512614453, Test Acc: 0.8177562802309253
Train Loss: 0.0003065163468574981, Train Acc: 0.8066000936183492
Test Loss: 0.01707696998577619, Test Acc: 0.8240755188016852
Train Loss: 0.0002378591456993854, Train Acc: 0.8453736932438758
Test Loss: 0.014471508301797435, Test Acc: 0.850132625994695
Train Loss: 0.000215143871027613, Train Acc: 0.8647995007021376
Test Loss: 0.012393049805813534, Test Acc: 0.8775940084256514
Train Loss: 0.00019488103988855485, Train Acc: 0.8757996567327196
Test Loss: 0.011315217252398155, Test Acc: 0.8878920268372601
Train Loss: 0.00017045885746617653, Train Acc: 0.8950694336089874
Test Loss: 0.009706711900672026, Test Acc: 0.9023248556717116
Train Loss: 0.0001458413805761737, Train Acc: 0.907473864877516
Test Loss: 0.008448804924498506, Test Acc: 0.9167576845061632
Train Loss: 0.00013218698204096996, Train Acc: 0.9148853175222343
Test Loss: 0.00835102683005578, Test Acc: 0.9182399750351069
Train Loss: 0.00011548422410881315, Train Acc: 0.9288500546107037
Test Loss: 0.007432065508738893, Test Acc: 0.9282259322827274
Train Loss: 0.00010236098912060941, Train Acc: 0.936027461382431
Test Loss: 0.006035781152172075, Test Acc: 0.9424247152441879
Train Loss: 9.074508144608429e-05, Train Acc: 0.9455453268840692
Test Loss: 0.006579979009697303, Test Acc: 0.9381338742393509
Train Loss: 7.816168789160106e-05, Train Acc: 0.953736932438758
Test Loss: 0.0045633464497638315, Test Acc: 0.9552972382586987
Train Loss: 7.905692558999791e-05, Train Acc: 0.9539709783117492
Test Loss: 0.003960793945764843, Test Acc: 0.96473708846934
Train Loss: 6.797331569900594e-05, Train Acc: 0.9596660945545327
Test Loss: 0.004442860507797918, Test Acc: 0.9583398346075831
Train Loss: 6.0495961980297256e-05, Train Acc: 0.9662973942892807
Test Loss: 0.003016518482756293, Test Acc: 0.9744109845529724
Train Loss: 4.224197877624608e-05, Train Acc: 0.9768294585738805
Test Loss: 0.0027825453395835817, Test Acc: 0.9771415197378687
Train Loss: 4.808887002229694e-05, Train Acc: 0.973630831643002
Test Loss: 0.0033941101353312684, Test Acc: 0.9707442658761117
Train Loss: 4.811056129510899e-05, Train Acc: 0.9748010610079576
Test Loss: 0.002965829320857759, Test Acc: 0.9772975503198627
Train Loss: 3.562765446713272e-05, Train Acc: 0.9822125136526759
Test Loss: 0.0018904514707292722, Test Acc: 0.9855671711655485
Train Loss: 3.554708043815294e-05, Train Acc: 0.9815103760337026
Test Loss: 0.0021490184601845636, Test Acc: 0.9826025901076612
Train Loss: 2.2464574644330022e-05, Train Acc: 0.9885317522234358
Test Loss: 0.001284519979254851, Test Acc: 0.9903261039163677
Train Loss: 2.2328091351851265e-05, Train Acc: 0.9886097675144329
Test Loss: 0.0013814256964835565, Test Acc: 0.989077859260415
Train Loss: 3.2039878184158384e-05, Train Acc: 0.9829926665626463
Test Loss: 0.0015766290139989923, Test Acc: 0.9879856451864566
Train Loss: 2.9239370360613308e-05, Train Acc: 0.9849430488375721
Test Loss: 0.0017132968669064095, Test Acc: 0.9870494616944921
Train Loss: 1.7448498186384367e-05, Train Acc: 0.991106256826338
Test Loss: 0.0008485553721075694, Test Acc: 0.9927445779372757
Train Loss: 1.4774434296608319e-05, Train Acc: 0.9919644250273053
Test Loss: 0.001137774485701564, Test Acc: 0.9903261039163677
Train Loss: 1.672023291226943e-05, Train Acc: 0.9915743485723202
Test Loss: 0.0008790690417522426, Test Acc: 0.9927445779372757
Train Loss: 2.3217919680582478e-05, Train Acc: 0.9882977063504447
Test Loss: 0.0009967024260320028, Test Acc: 0.9921984709002964
Train Loss: 1.8348822342532216e-05, Train Acc: 0.9906381650803557
Test Loss: 0.0009851317405047857, Test Acc: 0.9925105320642846
Train Loss: 1.25346993611282e-05, Train Acc: 0.9939148073022313
Test Loss: 0.0009340511231769947, Test Acc: 0.9921204556092994
Train Loss: 1.0758238566440965e-05, Train Acc: 0.9942268684662193
Test Loss: 0.00066075576818035, Test Acc: 0.9948509907941957
Train Loss: 1.2372485041182503e-05, Train Acc: 0.9940708378842253
Test Loss: 0.000791428250551535, Test Acc: 0.9941488531752224
Train Loss: 1.0037982692919555e-05, Train Acc: 0.9948509907941957
Test Loss: 0.0005537923734479737, Test Acc: 0.9960212201591512
Train Loss: 1.5428062086872233e-05, Train Acc: 0.9926665626462786
Test Loss: 0.0006303023148135815, Test Acc: 0.9947729755031987
Train Loss: 1.7355532082209543e-05, Train Acc: 0.9914963332813231
Test Loss: 0.0006479155082677705, Test Acc: 0.9943828990482134
Train Loss: 9.835880086126712e-06, Train Acc: 0.9948509907941957
Test Loss: 0.0005776758796910635, Test Acc: 0.995631143704166
Train Loss: 1.681144513871578e-05, Train Acc: 0.9915743485723202
Test Loss: 0.0006778114921244652, Test Acc: 0.9953970978311749
Train Loss: 7.178270530340728e-06, Train Acc: 0.9961772507411453
Test Loss: 0.0003161991129164084, Test Acc: 0.9972694648151038
Train Loss: 5.4525728728230144e-06, Train Acc: 0.9968013730691215
Test Loss: 0.0003429394496747499, Test Acc: 0.9975815259790919
Train Loss: 5.055016185065614e-06, Train Acc: 0.9974254953970978
Test Loss: 0.00026970157874774765, Test Acc: 0.9975815259790919
Train Loss: 4.217577723156448e-06, Train Acc: 0.9972694648151038
Test Loss: 0.00024616039200633396, Test Acc: 0.9979716024340771
Train Loss: 4.350969330482902e-06, Train Acc: 0.9973474801061007
Test Loss: 0.0002545066123172577, Test Acc: 0.9974254953970978
Train Loss: 4.47653842436353e-06, Train Acc: 0.9970354189421127
Test Loss: 0.000285921917576232, Test Acc: 0.9971914495241068
