,precision,recall,f1-score,support
0,0.9982631350412505,0.6335078534031413,0.775118004045853,3629.0
1,0.06363636363636363,1.0,0.11965811965811964,7.0
2,0.0,0.0,0.0,0.0
3,0.0045045045045045045,1.0,0.008968609865470852,1.0
4,0.022727272727272728,0.5,0.04347826086956522,8.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
accuracy,0.6340192043895747,0.6340192043895747,0.6340192043895747,0.6340192043895747
macro avg,0.0518633940909234,0.14921465968586387,0.04510585687804804,3645.0
weighted avg,0.994054511466797,0.6340192043895747,0.7720432477961122,3645.0
