,precision,recall,f1-score,support
0,0.9813287016934433,0.6562137049941928,0.7864973029406648,3444.0
1,0.14545454545454545,0.5161290322580645,0.22695035460992907,31.0
2,0.47368421052631576,0.6206896551724138,0.5373134328358208,29.0
3,0.09009009009009009,0.5,0.15267175572519084,40.0
4,0.1590909090909091,0.8235294117647058,0.26666666666666666,34.0
5,0.14285714285714285,0.2,0.16666666666666666,5.0
6,0.22826086956521738,0.5833333333333334,0.328125,36.0
7,0.375,0.6,0.4615384615384615,5.0
8,0.20833333333333334,0.625,0.3125,8.0
9,0.45454545454545453,0.5,0.47619047619047616,10.0
10,0.1875,1.0,0.3157894736842105,3.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
accuracy,0.6529492455418381,0.6529492455418381,0.6529492455418381,0.6529492455418381
macro avg,0.16410215510268816,0.31547119702489096,0.191948075755147,3645.0
weighted avg,0.9395160423566589,0.6529492455418381,0.7598492723161738,3645.0
