,precision,recall,f1-score,support
0,0.9966448418515261,0.8383843919548419,0.910690101647493,36494.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0016313213703099511,0.3,0.0032449972958355864,10.0
4,0.005547850208044383,0.6666666666666666,0.011004126547455296,6.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,100.0
accuracy,0.8359191477738322,0.8359191477738322,0.8359191477738322,0.8359191477738322
macro avg,0.08365200111915672,0.1504209215517924,0.07707826879089866,36610.0
weighted avg,0.9934882944235057,0.8359191477738322,0.9078072396682833,36610.0
