,precision,recall,f1-score,support
0,0.8378448809407473,0.8749829908831134,0.8560113154172561,29396.0
1,0.07652399481193256,0.40273037542662116,0.12861035422343325,293.0
2,0.22098214285714285,0.592814371257485,0.32195121951219513,167.0
3,0.18379554105492116,0.18065205772314272,0.1822102425876011,1871.0
4,0.6393897364771152,0.3295210864903502,0.43490566037735845,1399.0
5,0.0,0.0,0.0,0.0
6,0.35231316725978645,0.34554973821989526,0.34889867841409694,573.0
7,0.2440944881889764,0.9117647058823529,0.3850931677018634,34.0
8,0.22040816326530613,0.9818181818181818,0.36,55.0
9,0.08383233532934131,1.0,0.15469613259668508,14.0
10,0.5862068965517241,0.5743243243243243,0.5802047781569967,148.0
12,0.0,0.0,0.0,377.0
14,0.0,0.0,0.0,58.0
15,0.0,0.0,0.0,292.0
17,0.0,0.0,0.0,243.0
18,0.0,0.0,0.0,38.0
19,0.0,0.0,0.0,1647.0
20,0.0,0.0,0.0,5.0
accuracy,0.7407538923791314,0.7407538923791314,0.7407538923791314,0.7407538923791314
macro avg,0.1914106303742774,0.3441198795569704,0.208476752721527,36610.0
weighted avg,0.7166684170149857,0.7407538923791314,0.7245275569969329,36610.0
