,precision,recall,f1-score,support
0,0.9985775248933144,0.656688493919551,0.7923250564334087,1069.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.016129032258064516,1.0,0.031746031746031744,1.0
4,0.07407407407407407,1.0,0.13793103448275862,4.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.14423076923076922,0.75,0.24193548387096775,20.0
20,0.0,0.0,0.0,0.0
accuracy,0.659963436928702,0.659963436928702,0.659963436928702,0.659963436928702
macro avg,0.061650570022811116,0.17033442469597754,0.06019688032665834,1094.0
weighted avg,0.9786804523072422,0.659963436928702,0.7791751966859327,1094.0
