,precision,recall,f1-score,support
0,0.9672830725462305,0.8468244084682441,0.9030544488711819,803.0
1,0.3235294117647059,0.7333333333333333,0.4489795918367347,15.0
2,0.3333333333333333,0.5,0.4,6.0
3,0.46774193548387094,0.6904761904761905,0.5576923076923077,42.0
4,0.7037037037037037,0.8260869565217391,0.76,46.0
5,0.0,0.0,0.0,0.0
6,0.47058823529411764,0.8421052631578947,0.6037735849056604,19.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0
10,0.5,0.5,0.5,6.0
12,0.375,0.75,0.5,4.0
13,0.3333333333333333,1.0,0.5,1.0
14,0.0,0.0,0.0,0.0
15,0.2857142857142857,0.5,0.36363636363636365,8.0
16,0.0,0.0,0.0,0.0
17,0.25925925925925924,0.4117647058823529,0.3181818181818182,17.0
18,0.625,0.5,0.5555555555555556,10.0
19,0.8269230769230769,0.7413793103448276,0.7818181818181817,116.0
20,0.0,0.0,0.0,0.0
accuracy,0.8098720292504571,0.8098720292504571,0.8098720292504571,0.8098720292504571
macro avg,0.32357048236779584,0.44209850840922915,0.35963459262489017,1094.0
weighted avg,0.8759026403216698,0.8098720292504571,0.8356552448099096,1094.0
