,precision,recall,f1-score,support
0,0.8561689025731252,0.7723440134907251,0.8120990873533247,10081.0
1,0.010638297872340425,0.009900990099009901,0.010256410256410256,101.0
2,0.0,0.0,0.0,26.0
3,0.015267175572519083,0.0036036036036036037,0.0058309037900874635,555.0
4,0.0,0.0,0.0,700.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,104.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,28.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,87.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,12.0
15,0.0,0.0,0.0,140.0
17,0.014925373134328358,0.01639344262295082,0.015625,61.0
18,0.0,0.0,0.0,17.0
19,0.0,0.0,0.0,904.0
20,0.0,0.0,0.0,2.0
21,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
accuracy,0.607739116866906,0.607739116866906,0.607739116866906,0.607739116866906
macro avg,0.02135713688457888,0.01910100118610213,0.02009074765237672,12818.0
weighted avg,0.6741688957035983,0.607739116866906,0.6391009575322408,12818.0
