,precision,recall,f1-score,support
0,0.9869735128093791,0.6673517322372284,0.7962865650726922,3406.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,234.0
30,0.0,0.0,0.0,5.0
accuracy,0.623593964334705,0.623593964334705,0.623593964334705,0.623593964334705
macro avg,0.04291189186127735,0.029015292705966454,0.034621155003160535,3645.0
weighted avg,0.9222583771272278,0.623593964334705,0.7440746339197777,3645.0
